300000000001111111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=10, ones=10, format=True 
300000000000000000000000000011111111111111111101111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=28, ones=26, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444 zeros=99, ones=101, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000010111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111121444441444444444444444444444444444444444444444444444444444 zeros=100, ones=100, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444 zeros=93, ones=93, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111114111111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444 zeros=104, ones=97, format=False 
300000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444244444444444444444444444444 zeros=65, ones=67, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111411111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444 zeros=107, ones=102, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444144444444444444444444444444444444444444444444444 zeros=100, ones=99, format=False 
300000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=60, ones=60, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=82, ones=80, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=85, ones=83, format=True 
300000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=61, ones=61, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444 zeros=101, ones=99, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000100001111111111111111111101111111111111111111111111111111111111111111111111111111112144444444444444424444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=82, ones=79, format=False 
300000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=48, ones=48, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111101111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444444444444444 zeros=95, ones=95, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=87, ones=85, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444 zeros=104, ones=102, format=True 
300000000000000000000000000000000000000100000000000001111111111111111111111111111111111111111111111111111214444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=51, ones=54, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=76, ones=74, format=True 
300000000000000000000000000000000000000000000000000001111111111111111111111111111111101111111111111111111112444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=53, ones=53, format=False 
300000000000001111111111124444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=13, ones=11, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444444444444444 zeros=93, ones=89, format=True 
300000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=82, ones=82, format=True 
300000000000000000000000000000000000000000111111111111111111111111111111111111111112444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=41, ones=41, format=True 
300000000000000000000000000000000000000000000000000000000011111111111111111111111111111111111111111111111111111111114444444444444444444444444444444444144444111444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=57, ones=62, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111111112111112424444444444444444444444444444444444444444444444 zeros=103, ones=104, format=False 
300000000000000000000000000000000000001000000000000001111111111111111111111111111111111111111111111111111244444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444444 zeros=51, ones=53, format=False 
