300000000000000000000000000000000000000000000000000000000000000144112440312114411414211014143110214141310111421014444424141444421014444141244444413314142444414112012444444144004143144401444011421432410112442430211101240414111404144010431200410442344101444344 zeros=84, ones=61, format=False 
300000000000000000000000000000000144430414414110244340344214140441114111414321140441114113134401144140414443014144440411313340121441402411101020104110011011114311444444413120444344340444403434141440044400114431011101411444114112441244112442104114011111440404 zeros=63, ones=77, format=False 
300000000000001430042441111401444024344100420341414140411414421014411323441444444041144410044442144440444431340413144214144314444413101301340411202043200024101344114044401443421420044444124110411442014414114413144440110433441040131141414441214142011141121444 zeros=47, ones=68, format=False 
300000000000000000001401431411401430341420444141410101404411400434141121444321212441444400104011044340414042041140143440004411141404444440443004414144414114044411014441411303440444401240413144130044004411444014414444142244344410143041444444420410040111400124 zeros=63, ones=60, format=False 
300000000000000000000000000000000000000000000140411414114044421004021124312404234040401144003434121430111402344140411410410441011414110124410444040013444142421434404100434014000114104440011144304414314404240313241414313114114414414443203022104341041044010400 zeros=88, ones=57, format=False 
300000000000000000000000000000000000000000000000000000000000000000000444424440301401111414142411341410031414013441441001044041440443104110444304120111144404411414144444440414431141040004414343442141100114414144100414114404411100402104444104434044234440144411 zeros=101, ones=54, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104334444021241444404442241144141444112043244314114220111441040004414041424003414144344411301040144404202442044201340444444404441140444431441240144344244010 zeros=126, ones=31, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000014144044004042440011110341411444341442211041041030031141304411124213401441104113444340401441441211444343210411431444444432403114110411304014113431444041341 zeros=125, ones=47, format=False 
300000000000000000000000000000000000000000000011441414440014231144112141442441144444124114444443444401104424244421241101111121444004144411444313441402243411421142141414444434424443141411441344443441141214041144144041444441141124241140011141444144420411434113 zeros=58, ones=67, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001124011341414112140140444421400444414441011443431440444344042434124111011144124414111010010440244431414111444421114440044144040440440244344404414 zeros=133, ones=40, format=False 
300000000000000000000000000000000000000000444014141424041010011441422114413444311140101401444111444304211444441411424121443204441431141434444241234144442044441441411144301444140241134444204131111441112141444414340143424004044144441140141421444114410410231004 zeros=64, ones=65, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001401024111441314144031442113114211041224403444211000342410441140414041113044101044141410414110100104110044403443414243301401130343040400340140041012 zeros=142, ones=44, format=False 
300000000000000000000000000000000000000000000000000000000000000000041201444441134114011444234212331241114041144112444014140110102411443414414401143112000431404401414414401414011441410041421424441344441411141444414042412011124444441122413001441441041020140142 zeros=91, ones=62, format=False 
300000000000000000000000000000000000000000000000000000000000000141141014001401141044214441402441414212004403413404440114414344024441444042100412441420410144441020110144244414401244443124111043241124014141414101112144014221443210401343114014401114421104124441 zeros=92, ones=59, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001414000311124443141014101401441144311400344244442111121411104141341241144144434424134443114141400314413441144400440141431340100434410104414414 zeros=134, ones=46, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001001441420114134302110434444400444340114244311142413143344043111421410141214110014114341404144134442334434114411110410334441434444104104404110141414100141141444 zeros=118, ones=51, format=False 
300000000000000001034423410110400232424404214111440101442243001041443402301244414114411214441440244044143341111124414324414310112042040002102400444244031411244443334411003144441011411144241434412104144143431140141411434114140041444131414134144114404404100033 zeros=53, ones=67, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000413101314442402141444404113420300442002414412444034411140014410014112011120444021110124414421204414243443041144414144214431001100441312411144114311431141311004144444120414 zeros=112, ones=53, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041243410331341043444404410144441110131414424130110401411114111114244241104144444400400404414440403411143400100044444414011114214414140314411111041404104410411440433 zeros=121, ones=52, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000041441001113141421141011240441411110013101444244314444101444411410444104404411442244302241310111410444411444120112430444144414144424023 zeros=140, ones=43, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002444141140141144411423211104440111204013404404401310411441440141411221210434114200401114114431144321144421114144314131444441044444441 zeros=139, ones=46, format=False 
300000000000000000000000000000000000000000000000000404444144440411411414110440444144014402120114114441404141441414104111412344131414114014410024411134340411040314041120444144011444444442141420144101032142441412441144444044101443041144244144141144044044042434 zeros=77, ones=61, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000014344141103041144400122141411411231114243011214440031441133144431431101421100143131411424134124134332144044001414110441240144103444044443431210040114441114140344404241412121111144 zeros=100, ones=61, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000011440041311441444423240322414141011102001141134044141241434204141444442133211124404231112421432114140400444102442220201421444431111434041144440331044001014440444402042 zeros=115, ones=44, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000014140140130414410041301110214131102444141122400434441103040141404414411241441003140114044044440411431400440443244411244414421114401141401000144440414314214241140340411114443440414444 zeros=107, ones=53, format=False 
300000000000000000000000000000000000000000000000000000000000000004140101440434120141404034420111441442414304210143443431414044044140044441111124443414144421041444044114204344410444444111113014344331414400242410100111410410114404411413004141441110442314041134 zeros=94, ones=56, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000111134014024404111444142411444131144144414134204011344114214044034404340414141141114421441444414111111144010444114404444210040441411043214444421444114304444442431041424122 zeros=104, ones=53, format=False 
300000000000000000000101324141114111414410044413441341331424111144011102104314242044102444222414013440411142144011111440412404401032331404231144004441144100404431430131444112444443102414411214014214001444114144214440424440114414441414112141313144110031041144 zeros=51, ones=77, format=False 
300000000000000000000000000000000000000000000000000000000000044044041421444311044442400444040114140424244140444134411111143041140444444434413312211310143142341304104114444024442414013144414034144443324244441444141404341414440141434214240414204411111444014444 zeros=82, ones=48, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104204414444414240444411104010114412400414100110342411414441033431104341410441100141114314144011040404444444441410141140342344144444420410444112012141413444404114304141 zeros=116, ones=49, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000244414441111314144314102411421440414022434441210141110203012031444314112144442401414344413441144130044401424211444404111114144134442444 zeros=135, ones=41, format=False 
300000000000000000000000000000000000000000000000000000000024143001114414041343144341012442110104121014243142433111401224413434024401404111044444444103444341041444141441101011400414111410420442444141403414014430444414112440013043414404444114144041111102424041 zeros=87, ones=58, format=False 
300000000000000000000000000114244022040231414431023202214441021024423001234130103410440401414140444344044444404441140413112141331043114411414444004424441414011411204004112114444444140414311144200414442401244441124343411230401144413140141133112444444441314042 zeros=59, ones=60, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000214400111324111114041441334244244440344441113430141333144340113442044341411434224444214411324444444412400104101404134443440113441401142111444003102134313444441424140031334114 zeros=102, ones=46, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000144210414420114144142041411004411410311044424004144401414414111441112344300444404131344414444322404111100114012341141422031444104144421441131411311440131104424011044 zeros=115, ones=54, format=False 
300000000000000000011414014444000104414031133434444314004144314414220243440211143214122104020113441240444442011101204344420043114244240414412114402324421114113234144144420144411420401424410413133222212420401141142114441134444144110441441142140111124404444144 zeros=48, ones=66, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000111411310431444110014114104101401442034441411441444134102444011441130303111044432021134011240443111104344424044444421130341410042141134104110244141140 zeros=130, ones=50, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004043224423121242444444130114441141244414142220411004134440010014412404340444401314301020431414221103144224441134131144122401034412441404 zeros=140, ones=33, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000001141201311042304140344104144141041404402101141341300144422111123412014414414441411404141104011411311113412011124414444444444340214434044441001404442424014141441411414301444201140 zeros=104, ones=58, format=False 
300000000003214144204344441414404113440414244411044331404210204142404011401114143441442114414440411114024411424404411311013401044022440444301042102402431441124411444401440304300114441414442101341014143141444113441311121211404304414111444444201044311404441414 zeros=44, ones=71, format=False 
300000000014421113443122404424114111404302014141400111141310124442410400013242014144441414413424144404010444111420403044434114011131400120414421144113101431010444440440141144240103414411104140044014141444114141442404122441444044114104343114404224400142110143 zeros=49, ones=75, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000141441044441114140141414004414441411111044314101141444112412410414421241040404140014434111443421411401314144434314403041441142144244 zeros=140, ones=45, format=False 
300000000000000000000000000000000000000000000000000000000000000000000000000000000000014443401414041414013142041342041431104141210114043032414040144444140144444211441024444401441142144120224104441104141434444441014011401041244441424113141410043044414224114104 zeros=109, ones=49, format=False 
