dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_both_rules_acc,std_both_rules_acc,deterministic,elapsed_s
unconditional,parentheses_and_brackets,32,uniform,greedy,,,128,1,0.9,0.0,False,492.35
unconditional,parentheses_and_brackets,32,uniform,categorical,,,128,1,0.94,0.0,False,455.42
unconditional,parentheses_and_brackets,32,gaussian,greedy,0.5,,128,1,1.0,0.0,False,738.38
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,128,1,0.97,0.0,False,802.68
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,128,1,0.97,0.0,False,865.73
unconditional,parentheses_and_brackets,32,gaussian,greedy,20.0,,128,1,0.98,0.0,False,813.56
unconditional,parentheses_and_brackets,32,gaussian,categorical,0.5,,128,1,0.71,0.0,False,698.65
unconditional,parentheses_and_brackets,32,gaussian,categorical,2.0,,128,1,0.7,0.0,False,762.07
unconditional,parentheses_and_brackets,32,gaussian,categorical,10.0,,128,1,0.88,0.0,False,852.39
unconditional,parentheses_and_brackets,32,gaussian,categorical,20.0,,128,1,0.86,0.0,False,786.6
unconditional,parentheses_and_brackets,32,ar,greedy,,,128,1,1.0,0.0,True,199.71
unconditional,parentheses_and_brackets,32,ar,categorical,,,128,1,1.0,0.0,False,199.16
unconditional,parentheses_and_brackets,32,ebsampler,greedy,,0.1,128,1,1.0,0.0,True,90.07
unconditional,parentheses_and_brackets,32,ebsampler,greedy,,0.5,128,1,1.0,0.0,True,84.65
unconditional,parentheses_and_brackets,32,ebsampler,greedy,,2.0,128,1,0.0,0.0,True,50.89
unconditional,parentheses_and_brackets,32,ebsampler,greedy,,10.0,128,1,1.0,0.0,True,24.76
unconditional,parentheses_and_brackets,32,ebsampler,categorical,,0.1,128,1,1.0,0.0,False,84.72
unconditional,parentheses_and_brackets,32,ebsampler,categorical,,0.5,128,1,0.99,0.0,False,78.52
unconditional,parentheses_and_brackets,32,ebsampler,categorical,,2.0,128,1,0.33,0.0,False,39.76
unconditional,parentheses_and_brackets,32,ebsampler,categorical,,10.0,128,1,0.0,0.0,False,20.9
unconditional,not_nested_parentheses_and_brackets,32,uniform,greedy,,,128,1,0.87,0.0,False,49.1
unconditional,not_nested_parentheses_and_brackets,32,uniform,categorical,,,128,1,0.87,0.0,False,45.21
unconditional,not_nested_parentheses_and_brackets,32,gaussian,greedy,0.5,,128,1,0.9,0.0,False,87.65
unconditional,not_nested_parentheses_and_brackets,32,gaussian,greedy,2.0,,128,1,0.91,0.0,False,93.5
unconditional,not_nested_parentheses_and_brackets,32,gaussian,greedy,10.0,,128,1,0.94,0.0,False,98.34
unconditional,not_nested_parentheses_and_brackets,32,gaussian,greedy,20.0,,128,1,0.93,0.0,False,88.5
unconditional,not_nested_parentheses_and_brackets,32,gaussian,categorical,0.5,,128,1,0.88,0.0,False,85.17
unconditional,not_nested_parentheses_and_brackets,32,gaussian,categorical,2.0,,128,1,0.88,0.0,False,91.28
unconditional,not_nested_parentheses_and_brackets,32,gaussian,categorical,10.0,,128,1,0.96,0.0,False,95.72
unconditional,not_nested_parentheses_and_brackets,32,gaussian,categorical,20.0,,128,1,0.91,0.0,False,85.83
unconditional,not_nested_parentheses_and_brackets,32,ar,greedy,,,128,1,1.0,0.0,True,23.02
unconditional,not_nested_parentheses_and_brackets,32,ar,categorical,,,128,1,1.0,0.0,False,22.3
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,0.1,128,1,1.0,0.0,True,9.76
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,0.5,128,1,1.0,0.0,True,9.26
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,2.0,128,1,1.0,0.0,True,5.38
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,10.0,128,1,0.0,0.0,True,2.73
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,categorical,,0.1,128,1,1.0,0.0,False,9.52
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,categorical,,0.5,128,1,0.99,0.0,False,8.87
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,categorical,,2.0,128,1,0.33,0.0,False,4.06
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,categorical,,10.0,128,1,0.06,0.0,False,2.6
