dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_eval_total,ci_low_both_rules,ci_high_both_rules,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,parentheses_and_brackets,32,uniform,greedy,,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,1.0,1,False,296.47,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T1_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,2.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.998,0.004,500,-0.0,0.007625,1.0,1,False,331.25,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma2.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,100.0,,1,5,0.196,0.02245,1.0,0.0,0.196,0.02245,0.852,0.030594,500,0.163578,0.233058,1.216,2,False,339.04,98,False,0.16326530612244897,0.8367346938775511,0.02931701030927835,98,0.0013166556945358788,0.002380952380952381,,,,,,,0.9406887755102041,0.013752460875540705,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma100.0.json
unconditional,parentheses_and_brackets,32,uniform,greedy,,,2,5,0.034,0.014967,1.0,0.0,0.034,0.014967,1.0,0.0,500,0.021334,0.053772,2.0,2,False,359.2,17,False,1.0,0.0,0.12143841911764706,17,0.007590132827324478,0.01568627450980392,,,,,,,0.5625,0.11741705457846553,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T2_uniform_greedy_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,1.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,1.0,1,False,392.54,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma1.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,10.0,,1,5,0.038,0.017205,1.0,0.0,0.038,0.017205,0.978,0.004,500,0.02446,0.058585,1.04,2,False,412.42,19,False,0.42105263157894735,0.5789473684210527,0.027777777777777776,19,0.006791171477079796,0.010526315789473684,,,,,,,0.9375,0.0,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma10.0.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.762,0.029933,500,-0.0,0.007625,1.0,1,False,420.7,0,True,,,,0,,,,,,,,,,,,,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T1_uniform_categorical_none.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,256.0,,1,5,0.228,0.033106,1.0,0.0,0.228,0.033106,0.79,0.033466,500,0.193381,0.266767,1.248,2,False,422.69,114,False,0.14035087719298245,0.8596491228070176,0.029372380065207267,114,0.0011318619128466328,0.0020467836257309943,,,,,,,0.9418859649122807,0.01596515326596605,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma256.0.json
unconditional,parentheses_and_brackets,32,gaussian,greedy,50.0,,1,5,0.164,0.020591,1.0,0.0,0.164,0.020591,0.916,0.024166,500,0.134128,0.198995,1.174,2,False,430.63,82,False,0.1951219512195122,0.8048780487804879,0.029142201144233666,82,0.0015735641227380016,0.002845528455284553,,,,,,,0.9405487804878049,0.013463050101109524,0.0,0.0,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T1_gaussian_greedy_sigma50.0.json
unconditional,parentheses_and_brackets,32,uniform,categorical,,,2,5,0.002,0.004,1.0,0.0,0.002,0.004,0.248,0.044452,500,0.000353,0.011241,1.25,2,False,433.95,1,True,1.0,0.0,,1,0.3548387096774194,0.6666666666666666,,,,,,,0.3125,,2.2,,0,results/T-sweep-Dyck-4/distributions/parentheses_and_brackets_L32_T2_uniform_categorical_none.json
