dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,baN,128,uniform,greedy,,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,4.61,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck/distributions/baN_L128_T4_uniform_greedy_none.json
unconditional,baN,128,uniform,greedy,,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,3.8,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck/distributions/baN_L128_T4_uniform_greedy_none.json
unconditional,baN,128,uniform,greedy,,,8,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,8,False,4.79,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck/distributions/baN_L128_T8_uniform_greedy_none.json
unconditional,baN,128,uniform,greedy,,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,3.85,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck/distributions/baN_L128_T4_uniform_greedy_none.json
unconditional,baN,128,uniform,greedy,,,8,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,8,False,4.62,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck/distributions/baN_L128_T8_uniform_greedy_none.json
unconditional,baN,128,uniform,greedy,,,16,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,16,False,7.43,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck/distributions/baN_L128_T16_uniform_greedy_none.json
unconditional,baN,128,uniform,greedy,,,32,4,0.075,0.043301,1.0,0.0,0.075,0.043301,1.0,0.0,32.0,32,False,12.23,3,True,,,,3,,,0.75,0.5,,,,,,,,,,results/T-sweep-nonDyck/distributions/baN_L128_T32_uniform_greedy_none.json
unconditional,baN,128,uniform,greedy,,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,1.51,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,uniform,greedy,,,8,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,8.0,8,False,1.65,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,uniform,greedy,,,16,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,16.0,16,False,2.27,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,uniform,greedy,,,32,4,0.025,0.043301,1.0,0.0,0.025,0.043301,1.0,0.0,32.0,32,False,3.68,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,uniform,greedy,,,64,4,0.275,0.082916,0.975,0.043301,0.275,0.082916,0.975,0.043301,63.85,64,False,6.27,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,uniform,greedy,,,128,4,0.625,0.129904,1.0,0.0,0.625,0.129904,1.0,0.0,127.625,128,False,11.41,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,uniform,categorical,,,4,4,0.5,0.1,0.925,0.082916,0.5,0.1,0.85,0.086603,3.7,4,False,1.42,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,uniform,categorical,,,8,4,0.425,0.178536,0.975,0.043301,0.425,0.178536,0.9,0.1,7.575,8,False,1.66,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,uniform,categorical,,,16,4,0.5,0.158114,0.925,0.082916,0.475,0.129904,0.925,0.082916,15.225,16,False,2.23,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,uniform,categorical,,,32,4,0.625,0.147902,1.0,0.0,0.625,0.147902,1.0,0.0,32.0,32,False,3.69,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,uniform,categorical,,,64,4,0.6,0.122474,1.0,0.0,0.6,0.122474,1.0,0.0,63.85,64,False,6.62,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,uniform,categorical,,,128,4,0.85,0.165831,1.0,0.0,0.85,0.165831,1.0,0.0,127.15,128,False,13.43,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,gaussian,greedy,1.0,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,False,3.48,,,,,,,,,,,,,,,,,,,,
unconditional,baN,128,gaussian,greedy,2.0,,4,4,0.0,0.0,1.0,0.0,0.0,0.0,0.95,0.05,4.0,4,False,3.41,,,,,,,,,,,,,,,,,,,,
