dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_eval_total,ci_low_both_rules,ci_high_both_rules,n_steps_mean,n_steps_max,deterministic,elapsed_s,n_correct,n_correct_too_low,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,dfa_state_coverage,dfa_transition_coverage,n_entropy,n_coverage,m_entropy,nm_joint_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences,distribution_path
unconditional,baN,128,gaussian,greedy,5.0,,1,5,0.016,0.013565,1.0,0.0,0.016,0.013565,0.988,0.011662,500,0.008129,0.031251,1.016,2,False,17.66,8,False,0.75,0.25,0.007254464285714286,8,0.002952755905511811,0.003968253968253968,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T1_gaussian_greedy_sigma5.0.json
unconditional,baN,128,uniform,greedy,,,2,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,2.0,2,False,19.94,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T2_uniform_greedy_none.json
unconditional,baN,128,uniform,categorical,,,4,5,0.47,0.04858,0.878,0.022271,0.342,0.047497,0.746,0.044989,500,0.301765,0.384645,3.534,4,False,28.36,171,False,1.0,0.0,0.15856543417624605,171,0.00018542555164101615,0.00037381430774262883,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T4_uniform_categorical_none.json
unconditional,baN,128,uniform,categorical,,,1,5,0.502,0.040694,1.0,0.0,0.216,0.029394,0.45,0.035214,500,0.182167,0.254164,1.0,1,False,28.45,108,False,1.0,0.0,0.15964897580475404,108,0.0006612298875909191,0.0015552099533437014,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T1_uniform_categorical_none.json
unconditional,baN,128,gaussian,greedy,10.0,,1,5,0.06,0.029665,1.0,0.0,0.06,0.029665,0.984,0.013565,500,0.042348,0.084362,1.062,2,False,28.82,30,False,0.3,0.7,0.006950431034482759,30,0.0007874015748031496,0.0010582010582010583,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T1_gaussian_greedy_sigma10.0.json
unconditional,baN,128,uniform,greedy,,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,500,-0.0,0.007625,1.0,1,False,30.25,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T1_uniform_greedy_none.json
unconditional,baN,128,gaussian,greedy,50.0,,1,5,0.324,0.040792,1.0,0.0,0.324,0.040792,0.99,0.008944,500,0.284455,0.366229,1.37,2,False,29.45,162,False,0.24691358024691357,0.7530864197530864,0.007571073920711602,162,0.00014581510644502772,0.0001959631589261219,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T1_gaussian_greedy_sigma50.0.json
unconditional,baN,128,gaussian,greedy,2.0,,1,5,0.0,0.0,1.0,0.0,0.0,0.0,0.988,0.007483,500,-0.0,0.007625,1.0,1,False,30.21,0,True,,,,0,,,,,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T1_gaussian_greedy_sigma2.0.json
unconditional,baN,128,gaussian,greedy,20.0,,1,5,0.154,0.012,1.0,0.0,0.154,0.012,0.984,0.010198,500,0.12501,0.188266,1.158,2,False,30.35,77,False,0.2727272727272727,0.7272727272727273,0.007297184723171565,77,0.00030677983433888945,0.00041228612657184083,0.75,0.625,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T1_gaussian_greedy_sigma20.0.json
unconditional,baN,128,uniform,greedy,,,16,5,0.002,0.004,1.0,0.0,0.002,0.004,1.0,0.0,500,0.000353,0.011241,16.0,16,False,32.21,1,True,1.0,0.0,,1,0.023622047244094488,0.031746031746031744,0.75,0.5,,,,,,,,,,results/T-sweep-nonDyck-4/distributions/baN_L128_T16_uniform_greedy_none.json
