dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_both_rules_acc,std_both_rules_acc,deterministic,elapsed_s
unconditional,baN,128,uniform,greedy,,,128,4,0.6025,0.040234,False,120.91
unconditional,baN,128,uniform,categorical,,,128,4,0.845,0.030414,False,130.56
unconditional,baN,128,gaussian,greedy,0.5,,128,1,0.71,0.0,False,233.95
unconditional,baN,128,gaussian,greedy,2.0,,128,1,0.85,0.0,False,230.05
unconditional,baN,128,gaussian,greedy,10.0,,128,1,0.9,0.0,False,201.06
unconditional,baN,128,gaussian,greedy,20.0,,128,1,0.95,0.0,False,174.49
unconditional,baN,128,gaussian,categorical,0.5,,128,1,0.94,0.0,False,235.56
unconditional,baN,128,gaussian,categorical,2.0,,128,1,0.84,0.0,False,230.89
unconditional,baN,128,gaussian,categorical,10.0,,128,1,0.88,0.0,False,203.37
unconditional,baN,128,gaussian,categorical,20.0,,128,1,0.92,0.0,False,174.13
unconditional,baN,128,ar,greedy,,,128,1,1.0,0.0,True,232.2
unconditional,baN,128,ar,categorical,,,128,1,1.0,0.0,False,233.49
unconditional,baN,128,ebsampler,greedy,,0.1,128,1,1.0,0.0,True,218.86
unconditional,baN,128,ebsampler,greedy,,0.5,128,1,1.0,0.0,True,218.86
unconditional,baN,128,ebsampler,greedy,,2.0,128,1,0.0,0.0,True,73.25
unconditional,baN,128,ebsampler,greedy,,10.0,128,1,0.0,0.0,True,15.9
unconditional,baN,128,ebsampler,categorical,,0.1,128,1,1.0,0.0,False,221.0
unconditional,baN,128,ebsampler,categorical,,0.5,128,1,1.0,0.0,False,221.0
unconditional,baN,128,ebsampler,categorical,,2.0,128,1,0.54,0.0,False,74.63
unconditional,baN,128,ebsampler,categorical,,10.0,128,1,0.51,0.0,False,16.38
unconditional,bbaN,128,uniform,greedy,,,128,1,0.99,0.0,False,6.88
unconditional,bbaN,128,uniform,categorical,,,128,1,0.88,0.0,False,6.93
unconditional,bbaN,128,gaussian,greedy,0.5,,128,1,0.75,0.0,False,15.21
unconditional,bbaN,128,gaussian,greedy,2.0,,128,1,0.93,0.0,False,14.93
unconditional,bbaN,128,gaussian,greedy,10.0,,128,1,0.97,0.0,False,14.07
unconditional,bbaN,128,gaussian,greedy,20.0,,128,1,0.97,0.0,False,13.22
unconditional,bbaN,128,gaussian,categorical,0.5,,128,1,0.45,0.0,False,10.87
unconditional,bbaN,128,gaussian,categorical,2.0,,128,1,0.55,0.0,False,11.27
unconditional,bbaN,128,gaussian,categorical,10.0,,128,1,0.79,0.0,False,12.46
unconditional,bbaN,128,gaussian,categorical,20.0,,128,1,0.82,0.0,False,11.73
unconditional,bbaN,128,ar,greedy,,,128,1,1.0,0.0,True,10.62
unconditional,bbaN,128,ar,categorical,,,128,1,1.0,0.0,False,9.49
unconditional,bbaN,128,ebsampler,greedy,,0.1,128,1,1.0,0.0,True,9.74
unconditional,bbaN,128,ebsampler,greedy,,0.5,128,1,1.0,0.0,True,3.83
unconditional,bbaN,128,ebsampler,greedy,,2.0,128,1,0.0,0.0,True,1.66
unconditional,bbaN,128,ebsampler,greedy,,10.0,128,1,1.0,0.0,True,0.67
unconditional,bbaN,128,ebsampler,categorical,,0.1,128,1,0.9,0.0,False,5.83
unconditional,bbaN,128,ebsampler,categorical,,0.5,128,1,0.33,0.0,False,1.58
unconditional,bbaN,128,ebsampler,categorical,,2.0,128,1,0.24,0.0,False,0.68
unconditional,bbaN,128,ebsampler,categorical,,10.0,128,1,0.11,0.0,False,0.56
unconditional,aNbN,128,uniform,greedy,,,128,1,0.97,0.0,False,6.87
unconditional,aNbN,128,uniform,categorical,,,128,1,0.84,0.0,False,6.83
unconditional,aNbN,128,gaussian,greedy,0.5,,128,1,1.0,0.0,False,12.81
unconditional,aNbN,128,gaussian,greedy,2.0,,128,1,1.0,0.0,False,12.74
unconditional,aNbN,128,gaussian,greedy,10.0,,128,1,1.0,0.0,False,12.5
unconditional,aNbN,128,gaussian,greedy,20.0,,128,1,1.0,0.0,False,12.33
unconditional,aNbN,128,gaussian,categorical,0.5,,128,1,0.79,0.0,False,11.33
unconditional,aNbN,128,gaussian,categorical,2.0,,128,1,0.77,0.0,False,11.22
unconditional,aNbN,128,gaussian,categorical,10.0,,128,1,0.89,0.0,False,12.06
unconditional,aNbN,128,gaussian,categorical,20.0,,128,1,0.85,0.0,False,11.65
unconditional,aNbN,128,ar,greedy,,,128,1,1.0,0.0,True,8.1
unconditional,aNbN,128,ar,categorical,,,128,1,1.0,0.0,False,8.67
unconditional,aNbN,128,ebsampler,greedy,,0.1,128,1,1.0,0.0,True,5.67
unconditional,aNbN,128,ebsampler,greedy,,0.5,128,1,1.0,0.0,True,2.51
unconditional,aNbN,128,ebsampler,greedy,,2.0,128,1,1.0,0.0,True,1.36
unconditional,aNbN,128,ebsampler,greedy,,10.0,128,1,0.0,0.0,True,0.5
unconditional,aNbN,128,ebsampler,categorical,,0.1,128,1,0.99,0.0,False,3.23
unconditional,aNbN,128,ebsampler,categorical,,0.5,128,1,0.51,0.0,False,1.13
unconditional,aNbN,128,ebsampler,categorical,,2.0,128,1,0.13,0.0,False,0.57
unconditional,aNbN,128,ebsampler,categorical,,10.0,128,1,0.0,0.0,False,0.56
unconditional,aNbNcN,128,uniform,greedy,,,128,1,0.88,0.0,False,12.93
unconditional,aNbNcN,128,uniform,categorical,,,128,1,0.78,0.0,False,12.02
unconditional,aNbNcN,128,gaussian,greedy,0.5,,128,1,1.0,0.0,False,28.35
unconditional,aNbNcN,128,gaussian,greedy,2.0,,128,1,1.0,0.0,False,27.98
unconditional,aNbNcN,128,gaussian,greedy,10.0,,128,1,1.0,0.0,False,26.14
