dataset,grammar,sampling_strategy,eb_gamma,T,schedule,sigma,n_evals,mean_both_rules_acc,std_both_rules_acc
unconditional,baN,greedy,0.1,128,categorical,,2,0.625,0.025
unconditional,baN,greedy,0.5,128,categorical,,2,0.6,0.01
unconditional,baN,greedy,0.9,128,categorical,,2,0.63,0.01
unconditional,baN,greedy,2.0,128,categorical,,2,0.55,0.02
unconditional,baN,greedy,5.0,128,categorical,,2,0.575,0.075
unconditional,baN,greedy,10.0,128,categorical,,2,0.585,0.025
unconditional,baN,categorical,0.1,128,categorical,,2,0.79,0.02
unconditional,baN,categorical,0.5,128,categorical,,2,0.79,0.03
unconditional,baN,categorical,0.9,128,categorical,,2,0.81,0.04
unconditional,baN,categorical,2.0,128,categorical,,2,0.79,0.04
unconditional,baN,categorical,5.0,128,categorical,,2,0.75,0.02
unconditional,baN,categorical,10.0,128,categorical,,2,0.735,0.035
unconditional,bbaN,greedy,0.1,128,categorical,,2,0.99,0.01
unconditional,bbaN,greedy,0.5,128,categorical,,2,1.0,0.0
unconditional,bbaN,greedy,0.9,128,categorical,,2,1.0,0.0
unconditional,bbaN,greedy,2.0,128,categorical,,2,0.99,0.01
unconditional,bbaN,greedy,5.0,128,categorical,,2,0.995,0.005
unconditional,bbaN,greedy,10.0,128,categorical,,2,0.995,0.005
unconditional,bbaN,categorical,0.1,128,categorical,,2,0.855,0.035
unconditional,bbaN,categorical,0.5,128,categorical,,2,0.895,0.015
unconditional,bbaN,categorical,0.9,128,categorical,,2,0.835,0.005
unconditional,bbaN,categorical,2.0,128,categorical,,2,0.845,0.015
unconditional,bbaN,categorical,5.0,128,categorical,,2,0.84,0.01
unconditional,bbaN,categorical,10.0,128,categorical,,2,0.845,0.005
unconditional,aNbN,greedy,0.1,128,categorical,,2,0.96,0.01
unconditional,aNbN,greedy,0.5,128,categorical,,2,0.99,0.0
unconditional,aNbN,greedy,0.9,128,categorical,,2,0.98,0.0
unconditional,aNbN,greedy,2.0,128,categorical,,2,0.985,0.015
unconditional,aNbN,greedy,5.0,128,categorical,,2,0.985,0.015
unconditional,aNbN,greedy,10.0,128,categorical,,2,0.98,0.0
unconditional,aNbN,categorical,0.1,128,categorical,,2,0.845,0.035
unconditional,aNbN,categorical,0.5,128,categorical,,2,0.86,0.06
unconditional,aNbN,categorical,0.9,128,categorical,,2,0.81,0.05
unconditional,aNbN,categorical,2.0,128,categorical,,2,0.8,0.04
unconditional,aNbN,categorical,5.0,128,categorical,,2,0.845,0.035
unconditional,aNbN,categorical,10.0,128,categorical,,2,0.83,0.01
unconditional,aNbNcN,greedy,0.1,128,categorical,,2,0.94,0.02
unconditional,aNbNcN,greedy,0.5,128,categorical,,2,0.905,0.025
unconditional,aNbNcN,greedy,0.9,128,categorical,,2,0.93,0.02
unconditional,aNbNcN,greedy,2.0,128,categorical,,2,0.925,0.015
unconditional,aNbNcN,greedy,5.0,128,categorical,,2,0.9,0.02
unconditional,aNbNcN,greedy,10.0,128,categorical,,2,0.89,0.0
unconditional,aNbNcN,categorical,0.1,128,categorical,,2,0.72,0.04
unconditional,aNbNcN,categorical,0.5,128,categorical,,2,0.785,0.015
unconditional,aNbNcN,categorical,0.9,128,categorical,,2,0.765,0.015
unconditional,aNbNcN,categorical,2.0,128,categorical,,2,0.785,0.005
unconditional,aNbNcN,categorical,5.0,128,categorical,,2,0.79,0.01
unconditional,aNbNcN,categorical,10.0,128,categorical,,2,0.765,0.005
