dataset,grammar,L,strategy,sampling_strategy,sigma,eb_gamma,T,n_reps,mean_rule1,std_rule1,mean_rule2,std_rule2,mean_both_rules,std_both_rules,mean_format,std_format,n_steps_mean,n_steps_max,deterministic,elapsed_s
unconditional,not_nested_parentheses_and_brackets,32,uniform,greedy,,,128,4,0.8775,0.017854,1.0,0.0,0.8775,0.017854,0.9725,0.019203,121.47,125,False,200.69
unconditional,not_nested_parentheses_and_brackets,32,uniform,categorical,,,128,4,0.95,0.007071,1.0,0.0,0.95,0.007071,0.9625,0.00433,121.075,125,False,183.22
unconditional,not_nested_parentheses_and_brackets,32,gaussian,greedy,0.5,,128,4,0.815,0.058949,1.0,0.0,0.815,0.058949,0.815,0.058949,115.965,124,False,356.3
unconditional,not_nested_parentheses_and_brackets,32,gaussian,greedy,2.0,,128,4,0.8775,0.053561,1.0,0.0,0.8775,0.053561,0.8825,0.04867,111.43,126,False,380.53
unconditional,not_nested_parentheses_and_brackets,32,gaussian,greedy,5.0,,128,4,0.9175,0.008292,1.0,0.0,0.9175,0.008292,0.94,0.007071,109.05,126,False,403.1
unconditional,not_nested_parentheses_and_brackets,32,gaussian,greedy,10.0,,128,4,0.94,0.018708,1.0,0.0,0.94,0.018708,0.9675,0.010897,109.38,126,False,396.04
unconditional,not_nested_parentheses_and_brackets,32,gaussian,greedy,20.0,,128,4,0.9275,0.010897,1.0,0.0,0.9275,0.010897,0.9675,0.00433,111.3325,126,False,361.26
unconditional,not_nested_parentheses_and_brackets,32,gaussian,categorical,0.5,,128,4,0.915,0.018028,1.0,0.0,0.915,0.018028,0.915,0.018028,115.2775,124,False,340.48
unconditional,not_nested_parentheses_and_brackets,32,gaussian,categorical,2.0,,128,4,0.91,0.033166,1.0,0.0,0.91,0.033166,0.9175,0.034911,110.9625,126,False,366.84
unconditional,not_nested_parentheses_and_brackets,32,gaussian,categorical,5.0,,128,4,0.89,0.031623,1.0,0.0,0.89,0.031623,0.9,0.022361,107.1425,126,False,387.66
unconditional,not_nested_parentheses_and_brackets,32,gaussian,categorical,10.0,,128,4,0.9175,0.010897,1.0,0.0,0.9175,0.010897,0.925,0.01118,107.445,126,False,379.06
unconditional,not_nested_parentheses_and_brackets,32,gaussian,categorical,20.0,,128,4,0.94,0.022361,1.0,0.0,0.94,0.022361,0.96,0.027386,111.7725,126,False,345.25
unconditional,not_nested_parentheses_and_brackets,32,ar,greedy,,,128,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,33.0,33,True,23.14
unconditional,not_nested_parentheses_and_brackets,32,ar,categorical,,,128,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,33.0,33,False,89.98
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,0.1,128,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,33.0,33,True,9.84
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,0.5,128,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,32.0,32,True,9.28
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,0.9,128,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,31.0,31,True,8.85
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,2.0,128,1,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,16.0,16,True,5.42
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,greedy,,10.0,128,1,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,4.0,4,True,2.79
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,categorical,,0.1,128,4,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,32.645,33,False,38.18
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,categorical,,0.5,128,4,0.9875,0.010897,1.0,0.0,0.9875,0.010897,0.98,0.012247,31.0625,32,False,35.52
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,categorical,,0.9,128,4,0.77,0.025495,1.0,0.0,0.77,0.025495,0.9575,0.00433,29.0375,31,False,33.12
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,categorical,,2.0,128,4,0.365,0.033541,1.0,0.0,0.365,0.033541,0.4625,0.031125,9.7825,16,False,17.01
unconditional,not_nested_parentheses_and_brackets,32,ebsampler,categorical,,10.0,128,4,0.0425,0.010897,1.0,0.0,0.0425,0.010897,0.4125,0.010897,2.4875,4,False,10.31
unconditional,parentheses_and_brackets,32,uniform,greedy,,,128,4,0.9075,0.027726,1.0,0.0,0.9075,0.027726,0.9925,0.00433,121.8125,125,False,1899.48
unconditional,parentheses_and_brackets,32,uniform,categorical,,,128,4,0.895,0.033541,1.0,0.0,0.895,0.033541,0.895,0.033541,117.6575,125,False,1824.71
