grammar,strategy,sampling_strategy,uniqueness,duplication_rate,mean_lev_dist_normalized,lev_n_used,bigram_diversity,trigram_diversity,mean_both_rules,n_steps_mean,n_entropy,m_entropy,nm_joint_coverage,n_coverage,dfa_state_coverage,dfa_transition_coverage,max_depth_ratio_mean,max_depth_ratio_std,brackets_parens_ratio_mean,brackets_parens_ratio_std,n_zero_paren_sequences
aNbN,ar,categorical,0.128,0.872,0.3352361047301881,200,9.333582228859437e-05,0.0001264142595284,1.0,129.0,4.100305426902594,,,1.0,,,,,,,
aNbN,ar,greedy,0.01,0.99,0.0,100,0.0002362204724409,0.0003174603174603,1.0,129.0,0.0,,,0.015625,,,,,,,
aNbNcN,ar,categorical,0.084,0.916,0.3360284780677885,200,0.0001572425938738,0.0002556073870534,1.0,129.0,3.6808947534675154,,,1.0,,,,,,,
aNbNcN,ar,greedy,0.01,0.99,0.0,100,0.0004,0.0005645161290322,1.0,129.0,0.0,,,0.0238095238095238,,,,,,,
baN,ar,categorical,1.0,0.0,0.1578649786424244,200,6.344775077723494e-05,0.0001279099513942,1.0,129.0,,,,,0.75,0.625,,,,,
baN,ar,greedy,0.01,0.99,0.0,100,0.0003149606299212,0.0003968253968253,1.0,129.0,,,,,0.75,0.5,,,,,
bbaN,ar,categorical,0.928,0.0719999999999999,0.2991190520503753,200,7.048540952022932e-05,9.509771290000476e-05,1.0,129.0,4.575230526051666,3.847293760667643,0.1115384615384615,,0.8,0.5,,,,,
bbaN,ar,greedy,0.01,0.99,0.0,100,7.874015748031496e-05,7.936507936507937e-05,1.0,129.0,0.0,0.0,0.0002403846153846,,0.4,0.2,,,,,
parentheses_and_brackets,ar,categorical,1.0,0.0,0.2691101629568704,50,0.0091027308192457,0.032258064516129,1.0,33.0,,,,,,,0.3605,0.1095357628052744,1.2427099567099569,0.8328720264451193,0.0
parentheses_and_brackets,ar,greedy,0.1,0.9,0.0,10,0.0129032258064516,0.0166666666666666,1.0,33.0,,,,,,,0.125,0.0,0.0,0.0,0.0
not_nested_parentheses_and_brackets,ar,categorical,1.0,0.0,0.270208714002625,50,0.0104166666666666,0.0430686406460296,1.0,33.0,,,,,,,0.4225595238095238,0.1015454732369721,1.125868686868687,0.3962484823680586,0.0
not_nested_parentheses_and_brackets,ar,greedy,0.1,0.9,0.0,10,0.0258064516129032,0.0366666666666666,1.0,33.0,,,,,,,0.375,0.0,0.2307692307692307,0.0,0.0
aNbN,ebsampler,greedy,0.01,0.99,0.0,100,0.0004761904761904,0.0006451612903225,1.0,8.0,0.0,,,0.015625,,,,,,,
aNbNcN,ebsampler,categorical,0.084,0.916,0.3263277584744667,200,0.0001565484204264,0.0002544610197525,1.0,23.09,3.6832352850986423,,,1.0,,,,,,,
aNbNcN,ebsampler,greedy,0.01,0.99,0.0,100,0.0008064516129032,0.0011475409836065,1.0,13.0,0.0,,,0.0238095238095238,,,,,,,
baN,ebsampler,categorical,1.0,0.0,0.1590215682411427,200,6.350819255683983e-05,0.0001280327763907,1.0,128.0,,,,,0.75,0.625,,,,,
baN,ebsampler,greedy,0.01,0.99,0.0,100,0.0002362204724409,0.0003174603174603,1.0,128.0,,,,,0.75,0.5,,,,,
bbaN,ebsampler,categorical,0.9148936170212766,0.0851063829787234,0.3020449460946149,200,7.560102817398316e-05,0.0001020095889013,0.95,52.924,4.518667608516943,3.8556891932944577,0.1033653846153846,,0.8,0.5,,,,,
bbaN,ebsampler,greedy,0.01,0.99,0.0,100,0.0004347826086956,0.0005882352941176,1.0,7.0,0.0,0.0,0.0002403846153846,,0.8,0.5,,,,,
parentheses_and_brackets,ebsampler,categorical,1.0,0.0,0.2700098814229249,47,0.0096618357487922,0.0342368045649072,0.96,25.16,,,,,,,0.3608156028368794,0.0938200470170023,1.1647369179284073,0.819965467790697,0.0
parentheses_and_brackets,ebsampler,greedy,0.1,0.9,0.0,10,0.0129032258064516,0.0266666666666666,1.0,4.0,,,,,,,0.4375,0.0,0.0,0.0,0.0
not_nested_parentheses_and_brackets,ebsampler,categorical,1.0,0.0,0.2672014687100894,49,0.010547132498352,0.0435967302452316,1.0,31.14,,,,,,,0.4446428571428572,0.1060660171779821,1.1161638248372945,0.4208247878009559,0.0
not_nested_parentheses_and_brackets,ebsampler,greedy,0.1,0.9,0.0,10,0.032258064516129,0.06,1.0,8.0,,,,,,,0.8125,0.0,0.2307692307692307,0.0,0.0
aNbN,gaussian,categorical,0.1333333333333333,0.8666666666666667,0.3368134172556654,200,9.647543092359146e-05,0.0001306506401881,0.962,237.438,4.08759116405167,,,1.0,,,,,,,
aNbN,gaussian,greedy,0.0020491803278688,0.9979508196721312,0.0,200,7.232401157184185e-05,9.75800156128025e-05,0.976,1.978,0.0,,,0.015625,,,,,,,
aNbNcN,gaussian,categorical,0.088235294117647,0.9117647058823528,0.3157329708093266,200,0.0001641982200912,0.0002668890742285,0.952,236.36,3.698067704111295,,,1.0,,,,,,,
aNbNcN,gaussian,greedy,0.0248962655601659,0.975103734439834,0.051006335458256,200,0.0001136157062352,0.0001608234158893,0.964,3.99,2.2241516772289898,,,0.2857142857142857,,,,,,,
baN,gaussian,categorical,1.0,0.0,0.1588962106937508,200,6.568360208873854e-05,0.0001324174459985,0.972,240.474,,,,,0.75,0.625,,,,,
bbaN,gaussian,categorical,0.945945945945946,0.054054054054054,0.2944797852900868,200,7.415463713664228e-05,0.0001000625390869,0.97,239.636,4.503098174001548,3.8866237038924663,0.109375,,0.8,0.5,,,,,
bbaN,gaussian,greedy,,,,0,,,1.0,1.0,,,,,,,,,,,
parentheses_and_brackets,gaussian,greedy,1.0,0.0,0.1457917774822695,48,0.0026881720430107,0.0055555555555555,0.96,57.62,,,,,,,0.3776041666666667,0.1089712289213941,0.0,0.0,0.0
not_nested_parentheses_and_brackets,gaussian,greedy,0.02,0.98,0.0,50,0.0019354838709677,0.0026666666666666,1.0,1.0,,,,,,,1.0,0.0,0.0,0.0,0.0
aNbN,uniform,greedy,0.1221995926680244,0.8778004073319756,0.1908478854594762,200,8.614006374364717e-05,0.0001164958061509,0.982,125.198,3.8396180352252114,,,0.9375,,,,,,,
aNbNcN,uniform,greedy,0.0841889117043121,0.915811088295688,0.2650279311169971,200,0.0001707183829554,0.0002777681330509,0.974,247.24,3.61235590517668,,,0.9761904761904762,,,,,,,
bbaN,uniform,greedy,,,,0,,,1.0,1.0,,,,,,,,,,,
not_nested_parentheses_and_brackets,uniform,greedy,0.02,0.98,0.0,50,0.0019354838709677,0.0026666666666666,1.0,1.0,,,,,,,1.0,0.0,0.0,0.0,0.0
